Panel,Panel description,Controller,Device ID,Point Tag,I/O,System,Units,Description,Notes / Basis
LCP-HSH,High-rise distribution panel (高層系統),DDC-HSH-02,CP-2-1,CP-2-1.SS,BO,Heat source,-,Start/Stop command,
LCP-HSH,High-rise distribution panel (高層系統),DDC-HSH-02,CP-2-1,CP-2-1.SPD,AO,Heat source,%,VFD speed command,CP-2; sequenced/群起動; VFD; DP-reset
LCP-HSH,High-rise distribution panel (高層系統),DDC-HSH-02,CP-2-1,CP-2-1.SPDFB,AI,Heat source,%,VFD speed feedback,
LCP-HSH,High-rise distribution panel (高層系統),DDC-HSH-02,CP-2-1,CP-2-1.KW,AI,Heat source,kW,Power,
LCP-HSH,High-rise distribution panel (高層系統),DDC-HSH-02,CP-2-1,CP-2-1.FLW,BI,Heat source,-,Flow/DP proof,
LCP-HSH,High-rise distribution panel (高層系統),DDC-HSH-02,CP-2-2,CP-2-2.RUN,BI,Heat source,-,Run status,
LCP-HSH,High-rise distribution panel (高層系統),DDC-HSH-02,CP-2-2,CP-2-2.TRIP,BI,Heat source,-,VFD/pump fault,
LCP-HSH,High-rise distribution panel (高層系統),DDC-HSH-02,CP-2-2,CP-2-2.SS,BO,Heat source,-,Start/Stop command,
LCP-HSH,High-rise distribution panel (高層系統),DDC-HSH-02,CP-2-2,CP-2-2.SPD,AO,Heat source,%,VFD speed command,CP-2; sequenced/群起動; VFD; DP-reset
LCP-HSH,High-rise distribution panel (高層系統),DDC-HSH-02,CP-2-2,CP-2-2.SPDFB,AI,Heat source,%,VFD speed feedback,
LCP-HSH,High-rise distribution panel (高層系統),DDC-HSH-02,CP-2-2,CP-2-2.KW,AI,Heat source,kW,Power,
LCP-HSH,High-rise distribution panel (高層系統),DDC-HSH-02,CP-2-2,CP-2-2.FLW,BI,Heat source,-,Flow/DP proof,
LCP-HSH,High-rise distribution panel (高層系統),DDC-HSH-02,CP-2-3,CP-2-3.RUN,BI,Heat source,-,Run status,
LCP-HSH,High-rise distribution panel (高層系統),DDC-HSH-02,CP-2-3,CP-2-3.TRIP,BI,Heat source,-,VFD/pump fault,
LCP-HSH,High-rise distribution panel (高層系統),DDC-HSH-02,CP-2-3,CP-2-3.SS,BO,Heat source,-,Start/Stop command,
LCP-HSH,High-rise distribution panel (高層系統),DDC-HSH-02,CP-2-3,CP-2-3.SPD,AO,Heat source,%,VFD speed command,CP-2; sequenced/群起動; VFD; DP-reset
LCP-HSH,High-rise distribution panel (高層系統),DDC-HSH-02,CP-2-3,CP-2-3.SPDFB,AI,Heat source,%,VFD speed feedback,
LCP-HSH,High-rise distribution panel (高層系統),DDC-HSH-02,CP-2-3,CP-2-3.KW,AI,Heat source,kW,Power,
LCP-HSH,High-rise distribution panel (高層系統),DDC-HSH-02,CP-2-3,CP-2-3.FLW,BI,Heat source,-,Flow/DP proof,
LCP-HSH,High-rise distribution panel (高層系統),DDC-HSH-03,CP-3-1,CP-3-1.RUN,BI,Heat source,-,Run status,
LCP-HSH,High-rise distribution panel (高層系統),DDC-HSH-03,CP-3-1,CP-3-1.TRIP,BI,Heat source,-,VFD/pump fault,
LCP-HSH,High-rise distribution panel (高層系統),DDC-HSH-03,CP-3-1,CP-3-1.SS,BO,Heat source,-,Start/Stop command,
LCP-HSH,High-rise distribution panel (高層系統),DDC-HSH-03,CP-3-1,CP-3-1.SPD,AO,Heat source,%,VFD speed command,CP-3; INV; control-flow l/m
LCP-HSH,High-rise distribution panel (高層系統),DDC-HSH-03,CP-3-1,CP-3-1.SPDFB,AI,Heat source,%,VFD speed feedback,
LCP-HSH,High-rise distribution panel (高層系統),DDC-HSH-03,CP-3-1,CP-3-1.KW,AI,Heat source,kW,Power,
LCP-HSH,High-rise distribution panel (高層系統),DDC-HSH-03,CP-3-1,CP-3-1.FLW,BI,Heat source,-,Flow/DP proof,
LCP-HSH,High-rise distribution panel (高層系統),DDC-HSH-03,CP-3-2,CP-3-2.RUN,BI,Heat source,-,Run status,
LCP-HSH,High-rise distribution panel (高層系統),DDC-HSH-03,CP-3-2,CP-3-2.TRIP,BI,Heat source,-,VFD/pump fault,
LCP-HSH,High-rise distribution panel (高層系統),DDC-HSH-03,CP-3-2,CP-3-2.SS,BO,Heat source,-,Start/Stop command,
LCP-HSH,High-rise distribution panel (高層系統),DDC-HSH-03,CP-3-2,CP-3-2.SPD,AO,Heat source,%,VFD speed command,CP-3; INV; control-flow l/m
LCP-HSH,High-rise distribution panel (高層系統),DDC-HSH-03,CP-3-2,CP-3-2.SPDFB,AI,Heat source,%,VFD speed feedback,
LCP-HSH,High-rise distribution panel (高層系統),DDC-HSH-03,CP-3-2,CP-3-2.KW,AI,Heat source,kW,Power,
LCP-HSH,High-rise distribution panel (高層系統),DDC-HSH-03,CP-3-2,CP-3-2.FLW,BI,Heat source,-,Flow/DP proof,
LCP-HSH,High-rise distribution panel (高層系統),DDC-HSH-03,CP-6-1,CP-6-1.RUN,BI,Heat source,-,Run status,
LCP-HSH,High-rise distribution panel (高層系統),DDC-HSH-03,CP-6-1,CP-6-1.TRIP,BI,Heat source,-,VFD/pump fault,
LCP-HSH,High-rise distribution panel (高層系統),DDC-HSH-03,CP-6-1,CP-6-1.SS,BO,Heat source,-,Start/Stop command,
LCP-HSH,High-rise distribution panel (高層系統),DDC-HSH-03,CP-6-1,CP-6-1.SPD,AO,Heat source,%,VFD speed command,CP-6; 順序切替 ON:№1優先
LCP-HSH,High-rise distribution panel (高層系統),DDC-HSH-03,CP-6-1,CP-6-1.SPDFB,AI,Heat source,%,VFD speed feedback,
LCP-HSH,High-rise distribution panel (高層系統),DDC-HSH-03,CP-6-1,CP-6-1.KW,AI,Heat source,kW,Power,
LCP-HSH,High-rise distribution panel (高層系統),DDC-HSH-03,CP-6-1,CP-6-1.FLW,BI,Heat source,-,Flow/DP proof,
LCP-HSH,High-rise distribution panel (高層系統),DDC-HSH-04,CP-6-2,CP-6-2.RUN,BI,Heat source,-,Run status,
LCP-HSH,High-rise distribution panel (高層系統),DDC-HSH-04,CP-6-2,CP-6-2.TRIP,BI,Heat source,-,VFD/pump fault,
LCP-HSH,High-rise distribution panel (高層系統),DDC-HSH-04,CP-6-2,CP-6-2.SS,BO,Heat source,-,Start/Stop command,
LCP-HSH,High-rise distribution panel (高層系統),DDC-HSH-04,CP-6-2,CP-6-2.SPD,AO,Heat source,%,VFD speed command,CP-6; 順序切替 ON:№1優先
LCP-HSH,High-rise distribution panel (高層系統),DDC-HSH-04,CP-6-2,CP-6-2.SPDFB,AI,Heat source,%,VFD speed feedback,
LCP-HSH,High-rise distribution panel (高層系統),DDC-HSH-04,CP-6-2,CP-6-2.KW,AI,Heat source,kW,Power,
LCP-HSH,High-rise distribution panel (高層系統),DDC-HSH-04,CP-6-2,CP-6-2.FLW,BI,Heat source,-,Flow/DP proof,
LCP-HSH,High-rise distribution panel (高層系統),DDC-HSH-05,HP-2-1,HP-2-1.RUN,BI,Heat source,-,Run status,
LCP-HSH,High-rise distribution panel (高層系統),DDC-HSH-05,HP-2-1,HP-2-1.TRIP,BI,Heat source,-,VFD/pump fault,
LCP-HSH,High-rise distribution panel (高層系統),DDC-HSH-05,HP-2-1,HP-2-1.SS,BO,Heat source,-,Start/Stop command,
LCP-HSH,High-rise distribution panel (高層系統),DDC-HSH-05,HP-2-1,HP-2-1.SPD,AO,Heat source,%,VFD speed command,HP-2; sequenced; 4-pipe heating loop
LCP-HSH,High-rise distribution panel (高層系統),DDC-HSH-05,HP-2-1,HP-2-1.SPDFB,AI,Heat source,%,VFD speed feedback,
LCP-HSH,High-rise distribution panel (高層系統),DDC-HSH-05,HP-2-1,HP-2-1.KW,AI,Heat source,kW,Power,
LCP-HSH,High-rise distribution panel (高層系統),DDC-HSH-05,HP-2-1,HP-2-1.FLW,BI,Heat source,-,Flow/DP proof,
LCP-HSH,High-rise distribution panel (高層系統),DDC-HSH-05,HP-2-2,HP-2-2.RUN,BI,Heat source,-,Run status,
LCP-HSH,High-rise distribution panel (高層系統),DDC-HSH-05,HP-2-2,HP-2-2.TRIP,BI,Heat source,-,VFD/pump fault,
LCP-HSH,High-rise distribution panel (高層系統),DDC-HSH-05,HP-2-2,HP-2-2.SS,BO,Heat source,-,Start/Stop command,
LCP-HSH,High-rise distribution panel (高層系統),DDC-HSH-05,HP-2-2,HP-2-2.SPD,AO,Heat source,%,VFD speed command,HP-2; sequenced; 4-pipe heating loop
